movie_id,title,director_name,writer_name,genre,country
$9.99,$9.99,Tatia Rosenthal,Tatia Rosenthal|Etgar Keret,NOT_FOUND,Australia|Israel
'Gator_Bait,'Gator Bait,Beverly Sebastion,Beverly Sebastion,Thriller_film|Action_film,United_States
'Neath_Brooklyn_Bridge,'Neath Brooklyn Bridge,Wallace Fox,Harvey Gates,NOT_FOUND,United_States
'Neath_the_Arizona_Skies,'Neath the Arizona Skies,Harry L. Fraser,NOT_FOUND,B_movies_(Hollywood_Golden_Age),United_States
'R_Xmas,'R Xmas,Abel Ferrara,Abel Ferrara,Crime_film,United_States
'Til_There_Was_You,'Til There Was You,Scott Winant,Winnie Holzman,Romantic_comedy,United_States
'Twas_the_Night,'Twas the Night,Nick Castle,NOT_FOUND,Teen_film,United_States
...All_the_Marbles,...All the Marbles,Robert Aldrich,NOT_FOUND,Comedy-drama|Action_film,United_States
...First_Do_No_Harm,...First Do No Harm,Jim Abrahams,NOT_FOUND,NOT_FOUND,United_States
...ing,...ing,NOT_FOUND,NOT_FOUND,Romance_film,South_Korea
"1,_2,_3,_Sun","1, 2, 3, Sun",Bertrand Blier,Bertrand Blier,NOT_FOUND,France
1-Ichi,1-Ichi,NOT_FOUND,NOT_FOUND,Crime_film,Japan
100_Bloody_Acres,100 Bloody Acres,NOT_FOUND,NOT_FOUND,Comedy_horror,Australia
100_Days_Before_the_Command,100 Days Before the Command,NOT_FOUND,NOT_FOUND,NOT_FOUND,Soviet_Union
100_Days_with_Mr._Arrogant,100 Days with Mr. Arrogant,Shin Jai-ho,NOT_FOUND,Romantic_comedy,South_Korea
100_Feet,100 Feet,Eric Red,Eric Red,Horror_film,United_States
100_Girls,100 Girls,Michael Davis (director),Michael Davis (director),Teen_film|Romantic_comedy,United_States
100_Million_BC,100 Million BC,Griff Furst,Paul Bales,NOT_FOUND,United_States
100_Rifles,100 Rifles,Tom Gries,Clair Huffaker|Tom Gries|Robert MacLeod,Western_film,United_States
100_Tears,100 Tears,NOT_FOUND,NOT_FOUND,Slasher_film|Comedy_horror|Splatter_film,United_States
101_Rent_Boys,101 Rent Boys,Randy Barbato|Fenton Bailey,NOT_FOUND,NOT_FOUND,United_States
102_Dalmatians,102 Dalmatians,Kevin Lima,Brian Regan (writer)|Kristen Buckley,Fantasy_film|Children's_film,United_States
102_Minutes_That_Changed_America,102 Minutes That Changed America,NOT_FOUND,NOT_FOUND,NOT_FOUND,United_States
102_Not_Out,102 Not Out,Umesh Shukla,Saumya Joshi,NOT_FOUND,India
10_Questions_for_the_Dalai_Lama,10 Questions for the Dalai Lama,Rick Ray,Rick Ray,NOT_FOUND,United_States
10_Rillington_Place,10 Rillington Place,Richard Fleischer,Clive Exton,Biographical_film|Crime_film,United_Kingdom
