movie_id,actor_name
$9.99,Geoffrey Rush|Anthony LaPaglia
$_(film),Robert Webber|Gert Fröbe|Warren Beatty|Scott Brady|Goldie Hawn
'68_(film),NOT_FOUND
'71_(film),Richard Dormer|Charlie Murphy (actress)|Sean Harris|Sam Reid (actor)|Paul Anderson (actor)|Jack O'Connell (actor)|Paul Popplewell
'Gator_Bait,Claudia Jennings
'Neath_Brooklyn_Bridge,Leo Gorcey|Gabriel Dell|Bobby Jordan|Huntz Hall
'Neath_the_Arizona_Skies,John Wayne|Sheila Terry (actor)
'R_Xmas,Andrew Fiscella|Victor Argo|Ice-T|Drea de Matteo|Lillo Brancato
'Til_There_Was_You,Jennifer Aniston|Dylan McDermott|Sarah Jessica Parker|Jeanne Tripplehorn
'Twas_the_Night,Bryan Cranston|Josh Zuckerman (actor)|Jefferson Mappin
'Twas_the_Night_Before_Christmas_(1977_TV_special),Alice Ghostley|Martha Raye|Anne Meara|Paul Lynde
+1_(film),Natalie Hall|Rhys Wakefield|Ashley Hinshaw
...And_Justice_for_All_(film),NOT_FOUND
...First_Do_No_Harm,NOT_FOUND
...ing,Lee Mi-sook|Im Soo-jung (actress)|Kim Rae-won
.45_(film),Sarah Strange|Angus Macfadyen|Aisha Tyler|Stephen Dorff|Milla Jovovich
008:_Operation_Exterminate,NOT_FOUND
08/15_(film_series),NOT_FOUND
"1,_2,_3,_Sun",Anouk Grinberg|Jean-Pierre Marielle|Marcello Mastroianni
1-900_(film),NOT_FOUND
1-Ichi,Chisato Amate|Nao Omori
"10,000_BC_(film)",Marco Khan|Camilla Belle|Affif Ben Badra|Tim Barlow|Cliff Curtis|Steven Strait
"10,000_Black_Men_Named_George",Andre Braugher|Charles S. Dutton|Mario Van Peebles
100%25_Love_(2011_film),Tamannaah Bhatia|Naga Chaitanya
100%25_Love_(2012_film),Koel Mallick|Jeet (actor)
1001_Grams,Ane Dahl Torp|Stein Winge|Per Christian Ellefsen
100_Bloody_Acres,Anna McGahan|Damon Herriman|Angus Sampson
100_Days_(1991_film),Madhuri Dixit|Laxmikant Berde|Jackie Shroff|Moon Moon Sen
100_Days_(2001_film),NOT_FOUND
100_Days_(2013_film),NOT_FOUND
100_Days_Before_the_Command,Vladimir Zamansky|Armen Dzhigarkhanyan
100_Days_of_Love,Nithya Menen|Dulquer Salmaan
