movie_id,title,director_name,writer_name,country
$9.99,$9.99,Tatia Rosenthal,Etgar Keret|Tatia Rosenthal,Israel|Australia
$_(film),$,Richard Brooks,Richard Brooks,USA
'68_(film),'68,Steven Kovacs,Steven Kovacs,United States
'71_(film),'71,Yann Demange,Gregory Burke,United Kingdom
'Gator_Bait,'Gator Bait,Beverly Sebastion,Beverly Sebastion,United States
'Neath_Brooklyn_Bridge,'Neath Brooklyn Bridge,Wallace Fox,Harvey Gates,United States
'Neath_the_Arizona_Skies,'Neath the Arizona Skies,Harry L. Fraser,Burl R. Tuttle,United States
'R_Xmas,'R Xmas,Abel Ferrara,Abel Ferrara,United States
'Til_There_Was_You,'Til There Was You,Scott Winant,Winnie Holzman,United States
'Twas_the_Night,'Twas the Night,Nick Castle,Dan Studney|Jenny Tripp|Jim Lincoln,United States
'Twas_the_Night_Before_Christmas_(1977_TV_special),'Twas the Night Before Christmas,Tim Kiley,Dick Clair|Jenna McMahon,Cinema_of_the_United_States
+1_(film),+1,Dennis Iliadis,NOT_FOUND,United States
...And_Justice_for_All_(film),...And Justice For All,Norman Jewison,NOT_FOUND,United States
...First_Do_No_Harm,...First Do No Harm,Jim Abrahams,Ann Beckett,NOT_FOUND
...ing,...ing,Lee Eon-hee,Kim Jin,South Korea
.45_(film),.45,Gary Lennon,Gary Lennon,United States
008:_Operation_Exterminate,008: Operation Exterminate,Umberto Lenzi,Umberto Lenzi,Italy
08/15_(film_series),08/15,Paul May,Hans Hellmut Kirst|Ernst von Salomon|Paul May,West Germany
"1,_2,_3,_Sun","1, 2, 3, Sun",Bertrand Blier,Bertrand Blier,France
1-900_(film),1-900,Theo van Gogh (film director),NOT_FOUND,Netherlands
1-Ichi,1-Ichi,NOT_FOUND,NOT_FOUND,Japan
"10,000_BC_(film)","10,000 BC",Roland Emmerich,Roland Emmerich|Harald Kloser,United States
"10,000_Black_Men_Named_George","10,000 Black Men Named George",Robert Townsend (actor),NOT_FOUND,NOT_FOUND
100%25_Love_(2011_film),100% Love,Sukumar (director),()|M J Saikumar|T Ramesh,India
100%25_Love_(2012_film),100% Love,Rabi Kinagi,Selvaraghavan|Rabi Kinagi,India
1001_Grams,1001 Grams,Bent Hamer,Bent Hamer,Norway
100_Bloody_Acres,100 Bloody Acres,Colin Cairnes|Cameron Cairnes,Colin Cairnes|Cameron Cairnes,NOT_FOUND
100_Days_(1991_film),100 Days,Partho Ghosh,NOT_FOUND,India
100_Days_(2001_film),100 Days,NOT_FOUND,NOT_FOUND,Rwanda
100_Days_(2013_film),100 Days,Henry Chan,Weiko Lin,Taiwan
100_Days_Before_the_Command,100 Days Before the Command,NOT_FOUND,NOT_FOUND,Soviet_Union
100_Days_of_Love,100 Days of Love,Jenuse Mohamed,Jenuse Mohamed,India
100_Days_with_Mr._Arrogant,100 Days with Mr. Arrogant,NOT_FOUND,NOT_FOUND,South Korea
100_Feet,100 Feet,Eric Red,Eric Red,United States
100_Ghost_Street:_The_Return_of_Richard_Speck,100 Ghost Street: The Return of Richard Speck,Martin Andersen,Nancy Leopardi,USA
100_Girls,100 Girls,Michael Davis (director),Michael Davis (director),United States
100_Million_BC,100 Million BC,Griff Furst,Paul Bales,United States
100_Rifles,100 Rifles,Tom Gries,Tom Gries|Clair Huffaker,United States
100_Tears,100 Tears,Marcus Koch,Joe Davison,United States
100_Women,100 Women,Michael Davis (director),Michael Davis (director),United States
100_Yen_Love,100 Yen Love,NOT_FOUND,NOT_FOUND,Japan
101_Dalmatians_(1996_film),101 Dalmatians,Stephen Herek,John Hughes (filmmaker),United Kingdom|United States
101_Rent_Boys,101 Rent Boys,Randy Barbato|Fenton Bailey,NOT_FOUND,USA
102_Dalmatians,102 Dalmatians,Kevin Lima,Brian Regan (writer)|Kristen Buckley,United Kingdom
102_Not_Out,102 Not Out,Umesh Shukla,Saumya Joshi,India
10_(film),10,Blake Edwards,Blake Edwards,United States
10_Cloverfield_Lane,10 Cloverfield Lane,Dan Trachtenberg,Damien Chazelle,United States
10_Days_in_a_Madhouse,10 Days in a Madhouse,Timothy Hines,Timothy Hines,United States
10_Items_or_Less_(film),10 Items or Less,Brad Silberling,Brad Silberling,United States
10_Minutes_(2002_film),10 Minutes,Ahmed Imamovic,Srdjan Vuletic|Ahmed Imamovic,United States
10_Minutes_(2013_film),10 Minutes,NOT_FOUND,Kim Da-hyun,South Korea
10_Questions_for_the_Dalai_Lama,10 Questions for the Dalai Lama,Rick Ray,Rick Ray,United States
10_Rillington_Place,10 Rillington Place,Richard Fleischer,Clive Exton,United Kingdom
10_Rules_for_Sleeping_Around,10 Rules for Sleeping Around,Leslie Greif,Leslie Greif,United States
10_Things_I_Hate_About_You,10 Things I Hate About You,Gil Junger,Kirsten Smith (writer)|Karen McCullah Lutz,United States
10_Years_(2011_film),10 Years,Jamie Linden (writer),Jamie Linden (writer),United States
10_to_Midnight,10 to Midnight,J. Lee Thompson,J. Lee Thompson|William Roberts (screenwriter),United States
10th_&_Wolf,10th & Wolf,Robert Moresco,Allan Steele|Robert Moresco,United States
11-11-11_(film),11-11-11,Darren Lynn Bousman,Darren Lynn Bousman,United States|Spain
11.6,11.6,Philippe Godeau,Philippe Godeau,France
11/11/11_(Keith_Allan_film),11/11/11,Keith Allan,Kiff Scholl,United States
11:14,11:14,Greg Marcks,Greg Marcks,United States|Canada
11_Flowers,11 Flowers,Wang Xiaoshuai,Wang Xiaoshuai,China
11_Harrowhouse,11 Harrowhouse,Aram Avakian,Charles Grodin|Jeffrey Bloom|Gerald A. Browne,UK
11_Minutes_(film),11 Minutes,Jerzy Skolimowski,Jerzy Skolimowski,Poland|Ireland
120_(film),120,NOT_FOUND,NOT_FOUND,Turkey
125_Years_Memory,125 Years Memory,NOT_FOUND,NOT_FOUND,Japan|Turkey
127_Hours,127 Hours,Danny Boyle,Danny Boyle|Simon Beaufoy,United Kingdom|United States
12:01_(1993_film),12:01,Jack Sholder,NOT_FOUND,United States
12:08_East_of_Bucharest,12:08 East of Bucharest,Corneliu Porumboiu,Corneliu Porumboiu,Romania
12_(2003_film),12,Lawrence Bridges,Lawrence Bridges,NOT_FOUND
12_(2007_film),12,Nikita Mikhalkov,Nikita Mikhalkov|Reginald Rose,Russia
12_Angry_Men_(1957_film),12 Angry Men,Sidney Lumet,Reginald Rose,United States
12_Angry_Men_(1997_film),12 Angry Men,William Friedkin,NOT_FOUND,Criminal_law_of_the_United_States
12_Citizens,12 Citizens,Xu Ang,NOT_FOUND,China
12_Dates_of_Christmas,12 Dates of Christmas,James Hayman,"*Janet Brownell
*Blake J. Harris
*Aaron Mendelsohn",United States
12_Men_of_Christmas,12 Men of Christmas,Arlene Sanford,NOT_FOUND,United States
12_O'Clock_Boys,12 O'Clock Boys,Lotfy Nathan,NOT_FOUND,United States
12_Paces_Without_a_Head,12 Paces Without a Head,NOT_FOUND,NOT_FOUND,Germany
12_Rounds_(film),12 Rounds,Renny Harlin,Daniel Kunka,United States
12_Rounds_3:_Lockdown,12 Rounds 3: Lockdown,Stephen Reynolds,NOT_FOUND,United States
12_Storeys,12 Storeys,Eric Khoo,"* Eric Khoo
* James Toh",Singapore
12_Years_a_Slave_(film),12 Years a Slave,Steve McQueen (director),John Ridley,"*United States
*United Kingdom"
12_to_the_Moon,12 to the Moon,David Bradley (director),DeWitt Bodeen,United States
12th_&_Delaware,12th & Delaware,Rachel Grady|Heidi Ewing,NOT_FOUND,United States
13_(2010_film),13,Géla Babluani,Géla Babluani,United States
13_Assassins,13 Assassins,Takashi Miike,NOT_FOUND,United Kingdom|Japan
13_Beloved,13 Beloved,Chukiat Sakveerakul,Chukiat Sakveerakul,Thailand
13_Eerie,13 Eerie,Lowell Dean,Christian Piers Betley,Canada
13_Fighting_Men,13 Fighting Men,Harry W. Gerstad,NOT_FOUND,United States
13_Ghosts,13 Ghosts,William Castle,Robb White,United States
13_Going_on_30,13 Going on 30,Gary Winick,Cathy Yuspa|Josh Goldsmith,United States
